"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.494078292E0,-7.095245361E-2,6.481521606E-2,9.808652802E0,9.809123561E0
2.504124292E0,-7.439529419E-2,5.463638306E-2,9.882449341E0,9.882880388E0
2.514171292E0,-7.499404907E-2,3.682342529E-2,9.877359924E0,9.877713255E0
2.524217292E0,-7.020401001E-2,4.236190796E-2,9.802964630E0,9.803307537E0
2.534263292E0,-5.927673340E-2,4.340972900E-2,9.802216187E0,9.802491535E0
2.544309292E0,-5.254074097E-2,2.574645996E-2,9.865833893E0,9.866007390E0
2.554356292E0,-4.999603271E-2,2.664459229E-2,9.811646576E0,9.811810132E0
2.564402292E0,-5.628295898E-2,5.194198608E-2,9.780361633E0,9.780661502E0
2.574448292E0,-6.391708374E-2,5.179229736E-2,9.794432373E0,9.794777861E0
2.584495292E0,-5.688171387E-2,4.909790039E-2,9.808952179E0,9.809239980E0
2.594541292E0,-7.918533325E-2,5.867797852E-2,9.829160156E0,9.829654256E0
2.604587292E0,-7.065307617E-2,1.002914429E-1,9.747130737E0,9.747902741E0
2.614633292E0,-6.301895142E-2,9.924362183E-2,9.765243073E0,9.765950694E0
2.624680292E0,-8.741821289E-2,8.143066406E-2,9.901759186E0,9.902479885E0
2.634726292E0,-9.654922485E-2,8.068222046E-2,9.834698639E0,9.835503479E0
2.644772292E0,-6.810836792E-2,8.083190918E-2,9.792935486E0,9.793505908E0
2.654819292E0,-5.523513794E-2,6.137237549E-2,9.969268799E0,9.969610718E0
2.664865292E0,-5.298980713E-2,5.867797852E-2,9.992470551E0,9.992783332E0
2.674911292E0,-1.766326904E-2,7.394622803E-2,9.833501129E0,9.833795020E0
2.684957292E0,-1.032852173E-2,7.813751221E-2,9.961784363E0,9.962096157E0
2.695004292E0,-2.275268555E-2,4.909790039E-2,1.009021729E1,1.009036239E1
2.705050292E0,-2.155517578E-2,5.673202515E-2,9.906549225E0,9.906735118E0
2.715096292E0,-3.083587646E-2,7.439529419E-2,9.860594788E0,9.860923642E0
2.725143292E0,-4.670288086E-2,5.628295898E-2,1.000833755E1,1.000860478E1
2.735189292E0,-7.050338745E-2,5.867797852E-2,9.974058838E0,9.974480615E0
2.745235292E0,-7.574249268E-2,7.753875732E-2,9.808353424E0,9.808952343E0
2.755281292E0,-8.322692871E-2,7.918533325E-2,9.866732025E0,9.867400767E0
